name,calories,protein,fat,carbs,fiber,sugar,sodium,ingredients,description,meal_type,region,precio_aprox,tiempo_prep
Caldo de gallina criolla,380,28,15,32,3,4,680,"gallina criolla,papa,yuca,verde,cilantro,cebolla","Sopa nutritiva de gallina criolla con vegetales",lunch,general
Sancocho,420,22,12,55,7,5,720,"carne,yuca,verde,choclo,papa,zanahoria,cilantro","Sopa espesa con carne y varios tubérculos",lunch,general
Seco de chivo,580,38,28,42,5,4,750,"chivo,cerveza,naranjilla,cebolla,tomate,pimiento,ajo,comino,arroz","Chivo guisado en salsa con arroz",lunch,general
Tripas mishki,520,24,32,35,4,12,580,"tripas,cebolla,tomate,panela,comino,ajo","Tripas de res guisadas con panela",lunch,sierra
Yaguarlocro,340,20,14,36,5,3,650,"papa,sangre de borrego,cebolla,ajo,leche","Sopa de papa con sangre",lunch,sierra
Caldo de pata,450,25,18,48,4,3,820,"pata de res,mote,yuca,papa,maní,cebolla,ajo","Sopa de pata de res con mote y maní",lunch,sierra
Tortillas de maíz,220,6,8,32,4,3,280,"maíz,queso,huevo,mantequilla","Tortillas de maíz tierno con queso",breakfast,sierra
Tostado con chicharrón,480,18,28,42,6,2,620,"maíz tostado,chicharrón,cebolla,tomate","Maíz tostado servido con chicharrón",snack,sierra
Cevichocho,240,12,8,32,10,4,480,"chocho,tomate,cebolla,cilantro,limón,tostado,chifles","Chocho en escabeche con tostado y chifles",snack,sierra
Morocho con empanadas,520,10,22,68,5,18,420,"morocho,empanadas,panela,canela","Bebida de morocho con empanadas de queso",breakfast,sierra
Pincho de carne,420,32,22,28,3,8,580,"carne de res,papa,cebolla,pimiento,salsa","Brocheta de carne con papas y vegetales",lunch,general
Salchipapa,580,18,32,55,5,6,980,"papas fritas,salchicha,salsas,mayonesa,ketchup","Papas fritas con salchicha y salsas",snack,general
Encebollado de atún,340,26,10,38,5,4,720,"atún,yuca,tomate,cebolla,limón,cilantro","Variante de encebollado con atún",lunch,costa
Bandera,650,28,25,75,10,8,680,"arroz,menestra,carne,huevo frito,patacón,aguacate","Plato completo con arroz, menestra, carne, huevo y patacón",lunch,general
Sopa de quinua,280,12,6,48,8,3,420,"quinua,papa,zanahoria,arveja,cebolla,cilantro","Sopa nutritiva de quinua con vegetales",lunch,sierra
Colada de machica,250,8,4,48,6,18,120,"machica,panela,canela,leche","Bebida caliente de harina de cebada tostada",breakfast,sierra
Empanadas de morocho,320,8,14,42,5,8,380,"harina de morocho,queso,manteca","Empanadas de harina de morocho con queso",snack,sierra
Bollo de pescado,380,22,15,42,4,3,580,"pescado,verde,maní,cebolla,especias,hoja de plátano","Masa de verde con pescado envuelta en hoja",lunch,costa
Corviche,420,18,20,45,6,4,520,"verde,pescado,maní,cebolla,especias","Bola de verde cocido con pescado y maní",snack,costa
Pan de yuca,280,8,12,38,2,4,380,"almidón de yuca,queso,huevo,mantequilla","Pan de almidón de yuca con queso",breakfast,general
Ceviche de concha,260,20,8,28,3,5,850,"conchas negras,tomate,cebolla,limón,naranja,cilantro","Ceviche fresco de conchas negras",lunch,costa
Arroz con mariscos,520,28,18,65,4,5,780,"arroz,mariscos mixtos,camarón,calamar,concha,cebolla,tomate,pimiento","Arroz marinero con mariscos frescos",lunch,costa
